"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
21;9;12;0,029405307;0,037322121;17,75;17,75;26,4;26,4;13,2;12,07;13,311946843852;11,8853083751053;0,037668431295747
21;12;16;0,037322121;0,036819466;17,75;17,75;26,4;26,4;12,07;9,64;11,8853083751053;9,59060073496029;0,0367565623755379
21;16;22;0,036819466;0,026263715;17,75;17,75;26,4;26,4;9,64;4,98;9,59060073496029;5,26288004053425;0,0273688077862749
22;0,7;1,3;0,022870795;0,020860175;23,66;23,66;27,3;27,3;22,54;22,1;22,6400898657688;22,0103403332232;0,0233226169271499
22;1,3;2;0,020860175;0,025132741;23,66;23,66;27,3;27,3;22,1;21,84;22,0103403332232;21,4974631653035;0,0260996689388458
22;2;3;0,025132741;0,03694513;23,66;23,66;27,3;27,3;21,84;21,44;21,4974631653035;20,8810775343242;0,0352163658627462
22;3;4;0,03694513;0,035060174;23,66;23,66;27,3;27,3;21,44;20,64;20,8810775343242;20,2204200447338;0,0333116337453996
22;4;5;0,035060174;0,0325469;23,66;23,66;27,3;27,3;20,64;20,08;20,2204200447338;19,7956606147626;0,0312507515828071
22;5;6;0,0325469;0,031415927;23,66;23,66;27,3;27,3;20,08;19,15;19,7956606147626;19,1132925032181;0,029948322688241
22;6;7;0,031415927;0,027897343;23,66;23,66;27,3;27,3;19,15;18,79;19,1132925032181;18,6754134479724;0,0278880946307006
22;7;8;0,027897343;0,02814867;23,66;23,66;27,3;27,3;18,79;18,21;18,6754134479724;18,115405564686;0,0266040776875119
22;8;9;0,02814867;0,02576106;23,66;23,66;27,3;27,3;18,21;17,7;18,115405564686;17,5920446742931;0,0249839410940337
22;9;10;0,02576106;0,024630086;23,66;23,66;27,3;27,3;17,7;16,45;17,5920446742931;16,8487352926038;0,0235119814882522
22;10;11;0,024630086;0,022619467;23,66;23,66;27,3;27,3;16,45;16,7;16,8487352926038;16,3330738984297;0,0215005153864936
22;11;13;0,022619467;0,038201767;23,66;23,66;27,3;27,3;16,7;14,71;16,3330738984297;15,0027861315234;0,0385629055354951
